[0:04:24] kengzasojung555: หวาดเด้
[0:04:24] dagoma555: rebirthztvHoldem rebirthztvHoldem
[0:04:25] hdfh098: หวัดดีคับลุง
[0:04:26] Jameszumii: แต้มช่อง100kแล้ววว
[0:04:26] onigirijr7: ดีครับ
[0:04:27] wuttisak_2001: ค้าบบ
[0:04:28] 0803400385: ดีค้าบลุง
[0:04:28] stoon11: ดีครับ
[0:04:28] moszaza134: ดีค้าบ+อย่าสปอยนะ
[0:04:29] toey_26s: <3 <3
[0:04:29] ketlnwza_007: ketlnwza_007 subscribed at Tier 1. 
[0:04:29] toongxmy: VoHiYo VoHiYo VoHiYo VoHiYo VoHiYo VoHiYo
[0:04:30] guitarkubbb: SeemsGood SeemsGood
[0:04:30] jirawatthanthong: ลุงมีบ้านใหม่แล้วคับ
[0:04:31] TIIXD15: !sub
[0:04:31] Nightbot: สามารถกดซัพได้ที่ลิ้งนี้เลย http://bit.ly/2nubLjU
[0:04:31] ffpity069: ดีง้าบ
[0:04:32] seen5674: ดีคับ
[0:04:32] patiparn55: ที่ลุงมาไวเพราะจะมาเคลียกับน้า555555555555
[0:04:32] Mor_Meaw: ลุงลอง top speed หรือยังลุง
[0:04:33] nonamez_888: ดีง้าบลุง
[0:04:34] EyeScreamSIX: jackey9Knife jackey9Knife
[0:04:34] oatjaaaaa: rebirthztvShy
